Country,City,House_Type,Income_Level,Market_Status,PPP_Index,Price_2015,Price_2020,Price_2025,Growth_Rate_%,Inflation_%,Interest_Rate_%,Population_Growth_%,Inaffordability_Ratio
USA,Saint Petersburg,Townhouse,Middle,Booming,0.61,206586,270211,353431,6.16,4,1.97,1.01,3.3
Japan,Yokohama,Condo,Middle,Stable,0.72,479501,533983,594655,2.27,7.68,7.6,2.73,8.81
UAE,Dubai,Condo,Middle,Booming,1.04,98114,130258,172932,6.55,6.18,6.28,3.41,3.65
France,Lyon,Apartment,Middle,Booming,0.92,290312,365369,459831,5.17,4.04,6.59,3.62,7.47
UK,London,Townhouse,Low,Booming,1.04,230970,255526,282693,2.13,2.37,1.46,1.83,6.04
China,Beijing,Condo,Low,Booming,0.95,384270,414231,446529,1.56,3.33,3.47,2.42,4.3
Russia,New York,Apartment,Middle,Booming,0.42,474705,708408,1057165,9.85,3.08,4.66,1.74,10.12
Australia,Melbourne,Condo,High,Stable,0.76,107532,156615,228101,9.13,4.38,3.37,1.81,7.48
Russia,Los Angeles,Condo,High,Booming,0.61,158858,201618,255889,5.38,2.12,7.95,1.1,3.4
Brazil,Sao Paulo,Villa,Middle,Stable,0.89,398271,596453,893252,9.95,4.96,2.85,3.08,9.3
USA,Saint Petersburg,Condo,Middle,Stable,0.52,456533,505567,559867,2.15,7.9,8.74,2.91,11.45
South Korea,Incheon,Townhouse,High,Stable,0.95,135706,175493,226945,5.86,2.43,4.51,3.1,6.48
Germany,Berlin,Condo,High,Declining,0.6,317910,486311,743916,10.59,2.29,4.47,1.05,9.26
China,Beijing,Villa,Low,Declining,0.4,349163,421580,509015,4.15,3.19,9.43,0.56,6.94
USA,Moscow,Apartment,Middle,Declining,0.32,267617,354747,470243,6.51,3.93,2.19,1.82,9.05
Russia,New York,Condo,Low,Declining,1,288838,396981,545615,7.49,3.2,3.59,1.07,5.24
South Korea,Incheon,Villa,High,Booming,0.5,283752,385755,524425,7.19,7.67,2.76,2.75,10.36
Japan,Yokohama,Townhouse,High,Booming,0.8,164752,196780,235034,3.89,2.24,3.75,3.11,3.43
UAE,Abu Dhabi,Villa,Middle,Stable,0.5,367805,544519,806138,9.61,4.73,7.28,1.86,4.44
Indonesia,Jakarta,Villa,High,Booming,0.66,310986,488692,767945,11.43,2.41,5.57,1.65,7.57
Italy,Naples,Condo,Low,Booming,0.32,190861,286469,429969,10.02,5.32,5.06,1.5,5.68
South Africa,Johannesburg,Apartment,Middle,Declining,0.64,426007,673929,1066133,11.64,4.63,4.54,3.46,6.84
UAE,Sharjah,Apartment,High,Booming,0.8,153924,224563,327622,9.18,5.19,8.28,3.23,4.94
South Korea,Busan,Apartment,High,Booming,0.94,410024,508578,630819,4.81,3.04,1.02,2.08,6.17
USA,Kazan,Apartment,High,Stable,0.8,134618,204999,312176,10.46,3.55,3.04,2.18,7.49
Saudi Arabia,Riyadh,Apartment,High,Booming,0.49,172337,197040,225283,2.87,6.31,7.93,2.12,9.43
Italy,Naples,Villa,High,Stable,0.96,112224,177471,280652,11.63,6.93,2.84,1.15,4.13
Italy,Milan,Villa,Low,Stable,0.42,386673,505888,661858,6.17,6.7,7.72,2.62,9.18
Saudi Arabia,Riyadh,Townhouse,High,Declining,0.32,190300,266573,373415,8.02,2.06,1.3,3.48,9.16
UAE,Sharjah,Townhouse,Low,Stable,0.54,359583,534287,793871,9.72,3.84,1.32,3.76,6.11
Canada,Toronto,Townhouse,High,Stable,0.4,271336,399584,588451,9.45,3.33,3.43,1.35,11.93
South Africa,Johannesburg,Apartment,High,Booming,0.48,308984,481674,750879,11.18,2.88,9.74,3.82,10.96
UK,Manchester,Townhouse,High,Declining,0.49,335325,492421,723116,9.37,7.92,2.62,3.18,6.05
Canada,Vancouver,Villa,Low,Declining,0.46,239620,356221,529561,9.73,4.79,5.84,3.98,6.59
Japan,Tokyo,Townhouse,High,Stable,0.85,214360,271387,343584,5.32,6.17,9.44,2.4,9.92
Mexico,Mexico City,Villa,Low,Stable,0.38,145021,192323,255053,6.52,2.12,3.28,2.31,3.13
UAE,Abu Dhabi,Villa,Low,Declining,0.54,281314,384059,524329,7.3,7.55,6.81,1.95,11.37
USA,Moscow,Condo,Low,Declining,1.01,140004,157079,176237,2.44,6.05,6.04,3.26,9.65
Saudi Arabia,Riyadh,Townhouse,High,Declining,0.86,493872,663504,891401,6.87,2.68,8.45,1.38,10
Russia,Los Angeles,Villa,Low,Declining,1.16,363558,500916,690171,7.56,4.76,4.28,1.74,8.73
China,Shenzhen,Townhouse,High,Stable,0.98,355333,411875,477415,3.18,4.96,8.12,2.16,7.83
Canada,Vancouver,Townhouse,Low,Declining,0.99,347569,443200,565141,5.5,7.37,2.46,3.98,4.07
Brazil,Brasilia,Apartment,Middle,Declining,0.31,450509,533728,632321,3.69,6.38,8.3,3.51,11.92
Russia,Chicago,Townhouse,Low,Stable,0.56,369610,411549,458248,2.27,4.44,8.63,1.79,8.32
UAE,Abu Dhabi,Villa,Middle,Booming,0.75,340678,540006,855960,11.7,2.33,6.17,3.52,7.33
Russia,Chicago,Apartment,Middle,Stable,0.37,302243,372557,459228,4.65,2.93,8.64,2.33,11.4
South Korea,Seoul,Townhouse,Middle,Booming,1.03,361837,380929,401029,1.06,4.57,2.78,3.69,4.57
Indonesia,Surabaya,Condo,Low,Declining,0.56,282577,337637,403425,3.9,3.26,6.39,0.81,3.52
Saudi Arabia,Jeddah,Apartment,Middle,Declining,0.64,374299,507229,687368,7.1,4.54,6.09,1.78,11.43
Canada,Montreal,Apartment,Low,Declining,0.35,353026,543733,837460,10.8,6.82,2.66,1.54,9.45
Japan,Tokyo,Apartment,High,Declining,0.38,415338,600329,867714,8.91,6.38,1.9,3.01,9.12
Mexico,Guadalajara,Condo,Middle,Declining,1.05,68718,73028,77607,1.25,4.24,2.34,2.45,11.26
Germany,Berlin,Condo,Low,Booming,0.65,430228,451796,474446,1,3.01,1.27,1.65,11.17
UAE,Dubai,Apartment,Low,Declining,0.39,322884,419208,544268,5.97,7.63,2.1,1.24,3.27
Germany,Munich,Apartment,High,Declining,0.69,175025,267516,408885,10.57,5.63,6.53,2.36,3.83
Australia,Melbourne,Condo,Low,Declining,0.7,499777,754352,1138601,10.19,7.36,8.41,0.86,5.05
Turkey,Ankara,Townhouse,Middle,Declining,0.3,186580,207054,229775,2.19,4.84,7.09,3.56,9.74
India,Bangalore,Villa,Low,Declining,1.14,74254,78464,82913,1.13,5.97,3.6,1.39,5.98
South Korea,Seoul,Apartment,Low,Declining,0.54,280146,361972,467697,5.84,5.07,7.05,1.85,5.26
Japan,Tokyo,Apartment,Middle,Stable,0.45,207263,302189,440589,9.16,6.54,7,1.32,8.29
Brazil,Sao Paulo,Condo,Middle,Booming,0.81,267920,362358,490086,7.05,4.95,6.09,3,3.99
Australia,Melbourne,Apartment,Low,Stable,0.97,111149,120779,131244,1.73,7.86,9.61,0.71,6.99
France,Marseille,Villa,Middle,Declining,0.47,268405,404379,609236,10.13,7.7,6.71,1.74,8.43
Canada,Vancouver,Condo,Middle,Booming,0.58,459421,702326,1073659,10.57,5.35,3.92,1.53,3.3
Brazil,Brasilia,Condo,High,Declining,1.03,252672,310490,381537,4.58,4.83,8.37,0.94,10.72
Japan,Yokohama,Townhouse,Low,Booming,1.11,476019,603886,766101,5.37,3.3,4.36,1.67,4.59
Turkey,Istanbul,Townhouse,Low,Declining,0.85,264481,403634,616000,10.52,2.19,6.79,3.17,9.84
South Africa,Durban,Apartment,Low,Stable,1.1,378065,589893,920408,11.21,4,5.53,0.55,3.06
Canada,Toronto,Condo,Low,Stable,0.52,95363,113779,135752,3.86,3.06,1.26,3.68,3.07
Brazil,Rio de Janeiro,Villa,High,Declining,0.96,118467,183828,285250,11.03,7.36,6.89,2.85,3.05
China,Shenzhen,Villa,Low,Booming,1.19,445025,686365,1058587,10.85,5.96,4.1,3.63,5.62
Canada,Vancouver,Townhouse,High,Declining,0.81,94879,147734,230033,11.14,2.84,3.02,2.45,9.88
Indonesia,Bandung,Condo,Low,Declining,0.86,154460,162263,170461,1.01,6.54,9.87,3.33,7.14
USA,Moscow,Villa,Middle,Declining,1.11,234431,313837,420137,6.77,4.86,5.03,3.21,7.74
Brazil,Sao Paulo,Condo,High,Booming,0.59,166171,177930,190520,1.42,5.5,3.07,1.02,8.88
China,Shenzhen,Villa,Middle,Declining,0.91,388470,515487,684034,6.54,7.36,9.43,3.33,8.72
France,Marseille,Apartment,Middle,Stable,0.57,492325,591172,709864,4.02,3.22,4.98,0.7,11.81
Russia,Los Angeles,Apartment,Middle,Stable,0.83,300628,424093,598263,8.21,4.98,1.29,2.64,9.45
Germany,Berlin,Townhouse,Low,Stable,0.68,390783,459112,539388,3.5,3.33,2.45,1.8,10.62
Indonesia,Jakarta,Villa,Middle,Booming,1.05,222271,305404,419629,7.48,6.32,3.17,1.09,11.75
UAE,Dubai,Townhouse,High,Stable,0.86,491637,607548,750787,4.72,6.22,3,1.41,7.61
USA,Moscow,Condo,Low,Declining,0.59,125430,149836,178992,3.89,2.21,7.34,2.22,3.85
Russia,Los Angeles,Apartment,Low,Declining,0.45,96141,133340,184932,7.74,2.57,7.79,0.57,5.24
Canada,Toronto,Condo,Low,Booming,1.1,373339,406989,443672,1.8,6.93,5.44,3.46,8.41
South Africa,Durban,Condo,Low,Declining,0.91,497076,585448,689532,3.56,5.74,5.14,0.64,3.13
Spain,Valencia,Apartment,High,Booming,0.41,342091,465908,634538,7.24,5.32,1.29,2.14,11.32
South Africa,Cape Town,Apartment,Low,Stable,0.66,331215,489834,724416,9.58,6.7,5.67,3.5,6.52
USA,Kazan,Villa,Low,Booming,1.1,158102,190374,229233,4.08,2.32,8.16,1.96,5.06
Canada,Montreal,Condo,Low,Booming,0.51,455630,687388,1037031,10.17,5.32,6.54,2.16,6.52
Japan,Tokyo,Villa,Middle,Stable,1.12,106526,136368,174571,5.6,4.07,5.48,2.1,7.67
Mexico,Monterrey,Villa,Middle,Stable,0.43,280914,332414,393355,3.67,3.11,1.58,3.17,6.85
Mexico,Mexico City,Villa,Middle,Stable,0.86,377417,537300,764913,8.47,4.82,4.49,1.82,8.76
Russia,Chicago,Villa,Middle,Booming,0.75,432110,661597,1012962,10.62,3.02,2.23,2.71,5.71
Turkey,Istanbul,Apartment,High,Declining,0.32,449889,528528,620912,3.5,7.58,7.46,3.17,4.81
Brazil,Sao Paulo,Villa,High,Stable,0.51,284570,325735,372854,2.89,3.83,3.89,1.06,4.85
Mexico,Mexico City,Villa,High,Stable,1.01,125238,133460,142222,1.31,5.78,9.78,1.66,4.07
China,Beijing,Apartment,Low,Declining,0.81,457859,678197,1004568,9.62,5.74,3.84,2.4,3.82
Mexico,Monterrey,Villa,High,Booming,0.91,376293,594832,940291,11.62,3.56,1.17,2.41,9.36
Spain,Madrid,Condo,High,Stable,1.01,137183,163791,195561,3.88,5.08,3.98,3.51,7.26
Brazil,Rio de Janeiro,Villa,Low,Booming,1.02,311279,459198,677409,9.5,4,8.48,1.46,7.91
Russia,Los Angeles,Apartment,High,Booming,0.49,263987,323383,396143,4.5,3.6,9.7,1.06,10.09
UAE,Abu Dhabi,Condo,Middle,Stable,1.19,58956,84570,121312,8.69,3.52,1.36,1.91,11.42
UAE,Dubai,Condo,Middle,Stable,0.31,314549,417018,552870,6.52,7.24,1.76,2.89,9.12
Mexico,Monterrey,Condo,Low,Stable,0.9,474051,712355,1070454,10.05,2.25,5.24,1.89,5.79
Spain,Barcelona,Apartment,High,Stable,0.71,222887,287031,369633,5.76,7.88,1.8,3.73,7.32
Saudi Arabia,Riyadh,Condo,Low,Declining,0.86,423582,528739,660000,4.97,4.58,4.69,1.81,11.33
Spain,Valencia,Condo,Low,Declining,1.05,99050,109893,121923,2.19,4.57,1.89,2.67,4.29
France,Paris,Villa,High,Declining,0.77,53249,65184,79793,4.48,6.06,5.36,3.92,10.87
Indonesia,Jakarta,Townhouse,High,Stable,0.62,70469,106767,161762,10.3,7.47,8.39,0.95,11.98
South Korea,Incheon,Townhouse,Low,Stable,0.53,375892,582415,902404,10.99,3.41,9.17,1.58,11.79
Germany,Munich,Villa,Middle,Declining,0.55,479046,517106,558190,1.59,6.26,5.79,2.17,5.01
Brazil,Rio de Janeiro,Apartment,High,Declining,0.94,135864,183969,249105,7.08,3.52,9.6,0.6,4.8
Brazil,Rio de Janeiro,Townhouse,Middle,Declining,0.52,236331,278398,327953,3.56,4.95,8.85,2.99,8.22
UK,London,Villa,Low,Booming,0.38,362296,413571,472103,2.83,6.72,3.25,1.96,6.15
Australia,Brisbane,Townhouse,Low,Booming,1.07,106945,145563,198127,7.22,2.85,7.34,3.67,6.91
South Africa,Durban,Apartment,High,Stable,0.74,467340,624621,834835,6.73,4.93,6.2,2.91,3.96
South Korea,Busan,Condo,High,Declining,1.04,245977,268064,292134,1.8,6.72,4.39,0.85,8.7
Saudi Arabia,Jeddah,Apartment,Middle,Booming,1.09,449489,708716,1117443,11.53,7.21,1.02,1.83,10.37
Turkey,Izmir,Villa,High,Declining,0.63,320697,443676,613814,7.67,4.19,9.14,2.26,7.18
Japan,Yokohama,Condo,High,Declining,1.2,272075,312375,358643,2.96,5.08,8.33,3.22,10.1
Germany,Munich,Apartment,High,Stable,0.94,164398,250567,381900,10.48,7.36,2.75,0.96,11.78
Mexico,Monterrey,Condo,Middle,Stable,1.08,451956,694886,1068392,10.75,5.25,6.82,2.41,3.46
Japan,Osaka,Apartment,High,Booming,0.97,277399,390090,548560,8.12,5.02,5.43,1.1,5.51
Spain,Madrid,Apartment,High,Booming,0.44,138050,218828,346872,11.7,2.92,3.42,2.57,8.49
USA,Moscow,Villa,Low,Declining,0.44,407173,603374,894116,9.64,3.42,3.6,3.78,10.43
Mexico,Monterrey,Apartment,Middle,Booming,0.93,87005,111370,142559,5.6,5.36,2.69,2.07,8.41
India,Mumbai,Apartment,Middle,Booming,0.59,401425,607054,918016,10.24,3.94,8.55,0.86,10.54
Mexico,Monterrey,Townhouse,Middle,Stable,0.44,87317,122504,171870,8.06,4.83,9.17,1.77,5.58
Spain,Valencia,Apartment,Middle,Declining,0.75,255176,316274,392001,4.79,6.16,7.84,3.49,11.76
Canada,Vancouver,Townhouse,Low,Booming,0.54,372242,471572,597407,5.34,6.06,5.28,3.98,9.56
Mexico,Guadalajara,Villa,High,Declining,1.16,425736,658442,1018343,10.93,6.89,5.13,1.38,6.33
South Africa,Cape Town,Villa,High,Declining,0.32,285797,379476,503861,6.56,5.15,9.77,3.69,4.46
Spain,Valencia,Condo,Low,Stable,0.63,240780,300564,375192,4.97,6.79,5.72,2.5,10.68
Germany,Munich,Villa,Low,Booming,1.03,109495,157964,227887,8.85,4.61,3.65,0.68,7.39
UK,London,Villa,Low,Booming,0.62,163181,233686,334655,8.64,6.62,3.2,0.67,10.64
France,Lyon,Townhouse,Middle,Stable,0.31,471701,658112,918192,7.9,3.93,3.22,0.53,5.12
Mexico,Monterrey,Villa,Low,Stable,0.42,325475,371562,424175,2.83,5.17,6.31,1.54,3.32
Indonesia,Bandung,Condo,High,Stable,0.33,61856,90095,131225,9.13,3.91,8.17,2.01,7.08
China,Beijing,Villa,High,Declining,0.76,370864,445195,534424,4.01,2.73,6,1.64,6.98
Mexico,Monterrey,Condo,Low,Booming,0.88,272357,378890,527094,7.82,5.27,7.66,2.97,7.81
Japan,Tokyo,Condo,Middle,Booming,0.91,443102,570604,734795,5.75,4.48,7.88,2.54,3.64
Australia,Brisbane,Apartment,High,Declining,1.1,63852,93328,136410,9.23,6.55,9.58,0.69,8.37
Canada,Toronto,Condo,High,Declining,0.69,198785,218599,240388,1.99,5.38,5.31,0.87,8.51
Spain,Madrid,Townhouse,High,Declining,0.96,395275,611868,947145,10.96,4.46,9.58,3.53,5.67
Italy,Milan,Villa,Middle,Declining,0.44,245925,312582,397305,5.42,5.45,6.25,3.12,7.59
Mexico,Monterrey,Apartment,Middle,Declining,0.39,436231,532364,649681,4.41,7.83,2.06,3.85,3.82
USA,Moscow,Condo,Middle,Stable,0.51,70961,102029,146698,8.76,7.1,4.91,3.75,8.31
UK,Manchester,Condo,Low,Declining,0.87,430439,522225,633585,4.26,4.13,9.15,3.65,11.79
Russia,Los Angeles,Townhouse,Middle,Stable,1.11,107317,161303,242447,10.06,4.46,9.92,2.15,7.98
India,Mumbai,Townhouse,Low,Booming,0.78,194782,212558,231956,1.83,7.37,8.22,0.99,9.99
Russia,New York,Townhouse,Middle,Stable,0.86,234115,278529,331369,3.79,7.16,7.3,2.42,8.49
UK,London,Villa,Low,Declining,0.38,263264,304474,352135,3.13,3.25,6.95,3.69,6.63
Spain,Valencia,Villa,High,Booming,0.49,341936,522873,799552,10.58,6.49,8.82,2.38,9.77
South Africa,Cape Town,Townhouse,Low,Stable,0.43,206724,261351,330413,5.29,5.07,9.36,3.56,4.21
Italy,Rome,Villa,Middle,Booming,0.46,210938,255216,308788,4.2,5.69,9.12,3.87,8.88
Turkey,Izmir,Villa,High,Declining,1.05,286341,333467,388349,3.29,5.15,6,3.1,4.98
South Africa,Johannesburg,Apartment,Middle,Booming,0.63,213812,337330,532203,11.55,4.66,7.8,3.13,5.39
India,Bangalore,Villa,Low,Declining,0.81,452436,593306,778037,6.23,7.67,2.93,0.76,11.02
Germany,Frankfurt,Townhouse,High,Declining,1.06,496665,707086,1006654,8.47,7.62,8.44,3.46,8.12
India,Bangalore,Condo,Middle,Declining,0.64,470551,605912,780211,5.75,5.23,5.02,2.48,7.23
Japan,Tokyo,Villa,High,Stable,0.34,446922,578503,748824,5.89,5.53,2.25,0.51,5.21
Indonesia,Surabaya,Condo,High,Declining,0.93,94638,146678,227334,11,3.29,2.84,1.14,3.13
UK,Birmingham,Townhouse,Middle,Stable,0.99,443766,615853,854675,7.76,3.13,3.57,2.17,11.59
Italy,Naples,Apartment,Middle,Booming,0.52,379241,489864,632755,5.83,3.79,5.1,0.75,10.19
Australia,Melbourne,Condo,Low,Stable,0.52,376435,409408,445269,1.75,7.73,2.74,3.59,10.29
Indonesia,Bandung,Villa,High,Declining,1.17,265051,384342,557322,9,4.22,2.66,2.05,4.49
Mexico,Monterrey,Condo,High,Stable,1.18,93311,128215,176176,7.48,5.76,5.84,2.82,4.05
Spain,Barcelona,Townhouse,Middle,Stable,0.8,179246,280895,440190,11.34,6.57,9.75,0.63,5.57
France,Lyon,Apartment,Low,Booming,0.48,55020,65104,77036,3.67,6.07,3.08,2.28,10.99
India,Bangalore,Townhouse,Middle,Booming,0.92,227583,285584,358368,5.1,4.73,2.59,2.72,6.28
South Korea,Seoul,Condo,High,Declining,1.07,390449,541077,749815,7.72,4.19,2.89,3.22,7.38
Mexico,Guadalajara,Condo,Middle,Booming,0.5,137829,157258,179427,2.82,6.66,3.06,2.34,7.06
Australia,Melbourne,Townhouse,High,Declining,0.82,444720,679203,1037320,10.55,4.71,1.14,1.99,8.46
France,Lyon,Apartment,Middle,Declining,0.8,343101,389331,441790,2.69,5.88,2.64,3.13,6.05
Russia,New York,Condo,Low,Booming,0.94,71540,91164,116173,5.49,6.23,3.04,3.28,8.68
UK,Manchester,Apartment,Middle,Booming,0.83,209097,275035,361767,6.31,5.58,5.25,2.94,6.9
South Africa,Johannesburg,Townhouse,Low,Declining,0.48,146270,154051,162245,1.06,3.81,7.74,3.28,4.82
Brazil,Sao Paulo,Townhouse,Middle,Declining,1.16,276081,429124,667003,11.09,6.24,7.5,0.8,4.98
France,Lyon,Apartment,Middle,Stable,0.31,372257,461391,571867,4.79,6.72,4.05,3.37,4.18
Saudi Arabia,Riyadh,Villa,Middle,Declining,0.46,203394,259260,330471,5.49,4.09,7.87,0.84,6.16
Mexico,Monterrey,Townhouse,Middle,Declining,1.05,80059,125555,196907,11.37,7.92,1.8,1.52,6.35
China,Shenzhen,Townhouse,High,Declining,1,318167,446834,627534,8.09,6.55,2.06,3.42,9.35
Canada,Toronto,Townhouse,Middle,Stable,0.82,450381,646372,927653,8.7,3.21,4.87,2.23,3.5
Brazil,Sao Paulo,Townhouse,Middle,Booming,1.16,107860,154628,221676,8.67,5.04,1.23,3.74,10.67
South Africa,Cape Town,Apartment,High,Stable,0.77,153024,170911,190890,2.34,4.18,3.3,2.27,11.7
China,Shanghai,Apartment,Low,Booming,0.82,450469,634253,893017,8.16,4.85,8.69,2.15,10.82
China,Beijing,Condo,Middle,Booming,0.56,107966,164154,249583,10.41,5.52,9,3.78,3.48
Indonesia,Jakarta,Townhouse,Middle,Declining,0.75,218734,304964,425187,7.88,6.76,3.53,2.45,9.38
South Korea,Seoul,Townhouse,Low,Booming,0.42,416330,575935,796725,7.67,7.7,4.06,0.88,7.56
Mexico,Guadalajara,Condo,High,Booming,0.38,486287,520948,558079,1.43,6.52,5.73,1.79,3.59
USA,Kazan,Condo,Middle,Booming,0.86,313349,377425,454603,4.09,7.46,3.74,2.07,7.89
Australia,Brisbane,Condo,Low,Stable,0.39,469473,589655,740604,5.12,2.48,4.49,2.6,7.62
South Korea,Seoul,Condo,Middle,Stable,0.93,74968,90448,109126,4.13,6.92,1.72,3.49,3.83
Italy,Naples,Townhouse,High,Booming,1.05,212355,294476,408354,7.73,2.92,1.6,1.26,4.15
China,Beijing,Condo,High,Stable,0.58,281472,386692,531244,7.48,6.74,6.91,2.63,6.71
Turkey,Ankara,Apartment,Low,Stable,0.73,236534,357922,541604,10.26,3.38,1.05,2.78,4.82
South Korea,Incheon,Condo,Middle,Booming,1.1,436571,476823,520786,1.84,2.64,5.46,2.63,5.47
India,Mumbai,Apartment,Middle,Booming,0.95,317712,390358,479615,4.57,2.15,7.75,1.25,10.51
India,Bangalore,Condo,Middle,Stable,0.68,309685,473856,725057,10.6,7.18,4.34,1.23,9.98
South Korea,Busan,Townhouse,Middle,Booming,0.69,136419,211099,326662,10.95,3.19,1.23,0.57,8.6
France,Lyon,Condo,Low,Declining,0.9,189969,232903,285540,4.52,4.04,7.12,0.7,11.36
Italy,Milan,Townhouse,Middle,Stable,0.5,499853,572000,654562,2.89,6.63,3.01,0.78,10.87
Indonesia,Surabaya,Villa,High,Booming,1.07,231607,332661,477807,8.73,5.34,8.68,1.6,7.71
Saudi Arabia,Jeddah,Condo,High,Declining,0.74,209258,322320,496469,10.81,3,2.35,2.52,8.92
Saudi Arabia,Dammam,Villa,Low,Stable,0.48,225823,354680,557063,11.41,3.48,7.02,3.09,7.03
Germany,Munich,Apartment,Middle,Booming,1.14,381496,496653,646572,6.04,5.42,7.23,2.57,10.91
Japan,Tokyo,Apartment,Middle,Stable,0.62,184949,215948,252143,3.35,2.23,1.39,3.55,9.11
UK,London,Condo,Low,Booming,0.89,326589,495459,751646,10.34,4.88,8.83,1.76,11.34
France,Paris,Apartment,High,Declining,0.93,165730,225433,306645,7.2,5.2,2.24,2.57,5.83
Japan,Yokohama,Villa,Low,Booming,0.35,476895,668998,938484,8.06,7.26,7.08,1.75,7.61
USA,Moscow,Townhouse,High,Declining,0.91,482114,573483,682168,3.79,7.25,9.32,2.85,11.38
France,Marseille,Townhouse,Low,Booming,0.66,478857,687893,988180,8.73,2.25,9.16,2.2,7.14
Germany,Berlin,Villa,Middle,Declining,0.81,117223,153333,200565,6.16,6.99,1.14,1.46,3.02
France,Marseille,Villa,Middle,Declining,0.67,377742,562580,837865,9.79,7.67,6.48,1.39,11.32
Russia,New York,Condo,High,Declining,1,308493,441947,633135,8.65,7.55,7.41,1.79,9.42
Canada,Montreal,Apartment,Middle,Declining,0.34,223887,285115,363088,5.47,3,1.21,0.97,8.89
Russia,New York,Villa,Low,Booming,1.02,494692,613665,761251,4.81,5.6,9.43,1.08,9.46
Germany,Berlin,Townhouse,High,Declining,0.98,90039,137191,209037,10.47,6.88,1.3,0.82,3.44
UAE,Dubai,Condo,High,Declining,0.6,279180,374881,503386,6.86,3.61,9.2,1.79,3.41
France,Paris,Villa,Low,Stable,0.57,288999,368336,469452,5.49,3.64,2.18,3.37,11.97
China,Shanghai,Townhouse,High,Booming,0.6,221729,308186,428355,7.8,6.31,4.53,3.67,8.04
Saudi Arabia,Riyadh,Townhouse,Low,Stable,0.71,341003,536753,844871,11.48,6.77,1.36,1.66,7.23
Turkey,Ankara,Villa,High,Declining,0.58,365084,549251,826319,10.09,6.39,9.9,1.45,10.87
China,Shenzhen,Apartment,Low,Booming,0.99,212980,309624,450122,9.08,2.62,8.1,2.36,5.63
USA,Saint Petersburg,Condo,Low,Declining,0.89,338729,394693,459903,3.3,2.18,4.9,2.49,10.89
Russia,Los Angeles,Townhouse,Low,Stable,1.14,287962,421747,617688,9.29,4.64,7.71,1.22,6.34
Russia,Los Angeles,Townhouse,High,Declining,0.87,58171,84194,121859,8.95,7.01,4.59,2.07,10.66
Spain,Valencia,Apartment,Middle,Stable,1,179667,220665,271018,4.56,6.07,6.07,1.07,5.79
UK,Manchester,Apartment,High,Stable,1.11,359678,572711,911920,11.85,6.6,9.48,1.26,9.94
South Korea,Incheon,Condo,High,Booming,0.32,351842,460246,602051,6.16,4.08,8.76,3.49,3.2
USA,Moscow,Townhouse,High,Booming,0.85,215525,275573,352351,5.57,6.99,3.79,3.8,4.62
Russia,Los Angeles,Villa,Low,Declining,0.9,352447,418957,498017,3.77,3.95,8.51,3.17,5.96
USA,Saint Petersburg,Villa,High,Stable,0.78,77756,90571,105498,3.3,4.91,1.77,3.45,9.46
UK,Manchester,Townhouse,Middle,Declining,1.15,362060,567428,889285,11.34,5.33,6.4,3.92,8.78
UK,London,Townhouse,Low,Declining,0.33,375711,581604,900327,10.96,6.77,6.25,2.85,11.91
Indonesia,Bandung,Villa,High,Booming,0.38,350260,422368,509320,4.12,5.84,6.47,1.04,4.86
UAE,Sharjah,Apartment,Low,Declining,0.86,107703,128797,154022,3.92,7.01,3.94,2.21,11.47
Turkey,Istanbul,Townhouse,High,Booming,0.5,225332,311758,431333,7.67,6.53,9.11,3.7,9.99
Turkey,Istanbul,Townhouse,Low,Booming,0.51,61164,77133,97270,5.22,2.85,7.39,2.81,3.4
UAE,Sharjah,Condo,Middle,Declining,1.05,161934,208527,268525,5.75,6.01,4.86,2.04,3.59
Saudi Arabia,Jeddah,Villa,High,Declining,0.66,394182,612301,951115,11.07,4.48,4.81,2.96,11.48
USA,Kazan,Townhouse,Low,Stable,0.54,248065,369067,549093,9.76,5.66,2,2.7,4.68
UAE,Sharjah,Condo,High,Stable,0.76,288096,441338,676092,10.64,4.77,3.51,1.31,10.87
USA,Moscow,Villa,Middle,Stable,0.45,241641,278599,321209,3.06,6.64,5.27,1.73,6.25
Japan,Yokohama,Condo,Low,Stable,1.07,299198,432290,624584,8.9,7.38,9.12,1.65,11.57
Turkey,Ankara,Condo,Middle,Booming,0.32,219576,338738,522567,10.85,3.65,3.46,1.56,8.51
South Korea,Incheon,Apartment,Low,Stable,0.69,377031,581457,896724,10.84,6.05,2.84,3.76,5.38
South Africa,Durban,Apartment,Middle,Stable,0.43,90485,123047,167327,7.2,2.68,2.25,1.55,5.53
Germany,Berlin,Condo,High,Booming,0.84,417535,613252,900709,9.37,3.57,3.21,3.88,3.07
South Korea,Seoul,Apartment,High,Stable,1.09,139878,219749,345227,11.42,4.05,4.96,2.97,8.29
India,Bangalore,Condo,Low,Stable,0.59,299224,434440,630758,9.04,2.25,1.1,2.1,4.19
India,Delhi,Apartment,Middle,Stable,0.9,146324,188475,242768,5.76,3.19,5.94,0.91,3.21
Saudi Arabia,Jeddah,Condo,Middle,Booming,0.35,479416,540905,610280,2.57,6.25,1.61,0.88,7.58
France,Paris,Townhouse,Middle,Declining,0.72,478211,750629,1178231,11.39,6.68,6.42,2.09,6.21
Turkey,Istanbul,Apartment,Low,Booming,1.15,321309,439708,601736,7.37,3.39,1.42,3.81,5.82
